"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS service","Fri Oct 31 04:00:10 GMT 2025","passed","Fri Oct 31 04:00:10 GMT 2025","Get entity","Users","",""
"","18","Get exercises","LMS service","Fri Oct 31 04:00:05 GMT 2025","passed","Fri Oct 31 04:00:05 GMT 2025","Get entities","Exercises","",""
"","261","Create file with empty directory","LMS service","Fri Oct 31 04:00:07 GMT 2025","passed","Fri Oct 31 04:00:07 GMT 2025","Validate entity","Files","",""
"","286","Delete exercise","LMS service","Fri Oct 31 04:00:03 GMT 2025","passed","Fri Oct 31 04:00:03 GMT 2025","Delete entity","Exercises","",""
"","13","Get file","LMS service","Fri Oct 31 04:00:06 GMT 2025","passed","Fri Oct 31 04:00:06 GMT 2025","Get entity","Files","",""
"","37","Update course","LMS service","Fri Oct 31 04:00:01 GMT 2025","passed","Fri Oct 31 04:00:01 GMT 2025","Update entity","Courses","",""
"","264","Create file with empty filename","LMS service","Fri Oct 31 04:00:07 GMT 2025","passed","Fri Oct 31 04:00:07 GMT 2025","Validate entity","Files","",""
"","303","Create file","LMS service","Fri Oct 31 04:00:05 GMT 2025","passed","Fri Oct 31 04:00:06 GMT 2025","Create entity","Files","",""
"","295","Update exercise","LMS service","Fri Oct 31 04:00:05 GMT 2025","passed","Fri Oct 31 04:00:05 GMT 2025","Update entity","Exercises","",""
"","288","Get exercise","LMS service","Fri Oct 31 04:00:04 GMT 2025","passed","Fri Oct 31 04:00:04 GMT 2025","Get entity","Exercises","",""
"","30","Create course","LMS service","Fri Oct 31 04:00:02 GMT 2025","passed","Fri Oct 31 04:00:02 GMT 2025","Create entity","Courses","",""
"","264","Create exercise","LMS service","Fri Oct 31 04:00:03 GMT 2025","passed","Fri Oct 31 04:00:03 GMT 2025","Create entity","Exercises","",""
"","260","Create file with incorrect file id","LMS service","Fri Oct 31 04:00:09 GMT 2025","passed","Fri Oct 31 04:00:09 GMT 2025","Validate entity","Files","",""
"","535","Create user","LMS service","Fri Oct 31 04:00:09 GMT 2025","passed","Fri Oct 31 04:00:09 GMT 2025","Create entity","Users","",""
"","286","Create user","LMS service","Fri Oct 31 04:00:09 GMT 2025","passed","Fri Oct 31 04:00:10 GMT 2025","Create entity","Users","",""
"","20","Delete file","LMS service","Fri Oct 31 04:00:09 GMT 2025","passed","Fri Oct 31 04:00:09 GMT 2025","Delete entity","Files","",""
"","256","Create file with empty filename and directory","LMS service","Fri Oct 31 04:00:08 GMT 2025","passed","Fri Oct 31 04:00:08 GMT 2025","Validate entity","Files","",""
"","544","Login","LMS service","Fri Oct 31 04:00:00 GMT 2025","passed","Fri Oct 31 04:00:01 GMT 2025","Login","Authentication","",""
"","32","Get courses","LMS service","Fri Oct 31 04:00:02 GMT 2025","passed","Fri Oct 31 04:00:02 GMT 2025","Get entities","Courses","",""
"","551","Create user","LMS service","Fri Oct 31 04:00:09 GMT 2025","passed","Fri Oct 31 04:00:10 GMT 2025","Create entity","Users","",""
